budget,budget_by_millions,genre_id,id,original_language,original_title,popularity,release_date,month_of_release,revenue,revenue_by_millions,runtime,status,title,vote_average,vote_count
255000000.00,255,28,57201,en,The Lone Ranger,49.046956,3/7/2013,7,89289910,89.28991,149,Released,The Lone Ranger,5.9,2311
225000000.00,225,28,49521,en,Man of Steel,99.398009,12/6/2013,6,662845518,662.845518,143,Released,Man of Steel,6.5,6359
225000000.00,225,12,2454,en,The Chronicles of Narnia: Prince Caspian,53.978602,15/5/2008,5,419651413,419.651413,150,Released,The Chronicles of Narnia: Prince Caspian,6.3,1630
220000000.00,220,87,24428,en,The Avengers,144.448633,25/4/2012,4,1519557910,1519.55791,143,Released,The Avengers,7.4,11776
380000000.00,380,12,1865,en,Pirates of the Caribbean: On Stranger Tides,135.413856,14/5/2011,5,1045713802,1045.713802,136,Released,Pirates of the Caribbean: On Stranger Tides,6.4,4948
225000000.00,225,28,41154,en,Men in Black 3,52.035179,23/5/2012,5,624026776,624.026776,106,Released,Men in Black 3,6.2,4160
250000000.00,250,28,122917,en,The Hobbit: The Battle of the Five Armies,120.965743,10/12/2014,12,956019788,956.019788,144,Released,The Hobbit: The Battle of the Five Armies,7.1,4760
215000000.00,215,28,1930,en,The Amazing Spider-Man,89.866276,27/6/2012,6,752215857,752.215857,136,Released,The Amazing Spider-Man,6.5,6586
200000000.00,200,28,20662,en,Robin Hood,37.668301,12/5/2010,5,310669540,310.66954,140,Released,Robin Hood,6.2,1398
250000000.00,250,12,57158,en,The Hobbit: The Desolation of Smaug,94.370564,11/12/2013,12,958400000,958.4,161,Released,The Hobbit: The Desolation of Smaug,7.6,4524
180000000.00,180,12,2268,en,The Golden Compass,42.990906,4/12/2007,12,372234864,372.234864,113,Released,The Golden Compass,5.8,1303
207000000.00,207,12,254,en,King Kong,61.22601,14/12/2005,12,550000000,550,187,Released,King Kong,6.6,2337
200000000.00,200,18,597,en,Titanic,100.025899,18/11/1997,11,1845034188,1845.034188,194,Released,Titanic,7.5,7562
250000000.00,250,12,271110,en,Captain America: Civil War,198.372395,27/4/2016,4,1153304495,1153.304495,147,Released,Captain America: Civil War,7.1,7241
209000000.00,209,53,44833,en,Battleship,64.928382,11/4/2012,4,303025485,303.025485,131,Released,Battleship,5.5,2114
150000000.00,150,28,135397,en,Jurassic World,418.708552,9/6/2015,6,1513528810,1513.52881,124,Released,Jurassic World,6.5,8662
200000000.00,200,28,37724,en,Skyfall,93.004993,25/10/2012,10,1108561013,1108.561013,143,Released,Skyfall,6.9,7604
200000000.00,200,28,558,en,Spider-Man 2,35.149586,25/6/2004,6,783766341,783.766341,127,Released,Spider-Man 2,6.7,4321
200000000.00,200,28,68721,en,Iron Man 3,77.68208,18/4/2013,4,1215439994,1215.439994,130,Released,Iron Man 3,6.8,8806
200000000.00,200,10,12155,en,Alice in Wonderland,78.530105,3/3/2010,3,1025491110,1025.49111,108,Released,Alice in Wonderland,6.4,4645
210000000.00,210,12,36668,en,X-Men: The Last Stand,3.857526,24/5/2006,5,459359555,459.359555,104,Released,X-Men: The Last Stand,6.3,3525
200000000.00,200,16,62211,en,Monsters University,89.186492,20/6/2013,6,743559607,743.559607,104,Released,Monsters University,7,3528
150000000.00,150,87,8373,en,Transformers: Revenge of the Fallen,21.939663,19/6/2009,6,836297228,836.297228,150,Released,Transformers: Revenge of the Fallen,6,3138
210000000.00,210,87,91314,en,Transformers: Age of Extinction,116.840296,25/6/2014,6,1091405097,1091.405097,165,Released,Transformers: Age of Extinction,5.8,3095
200000000.00,200,14,68728,en,Oz: The Great and Powerful,46.985445,7/3/2013,3,491868548,491.868548,130,Released,Oz: The Great and Powerful,5.7,3530
200000000.00,200,28,102382,en,The Amazing Spider-Man 2,89.270217,16/4/2014,4,705717432,705.717432,142,Released,The Amazing Spider-Man 2,6.5,4179
170000000.00,170,12,20526,en,TRON: Legacy,73.79505,10/12/2010,12,400062763,400.062763,125,Released,TRON: Legacy,6.3,2841
200000000.00,200,16,49013,en,Cars 2,49.98659,11/6/2011,6,559852396,559.852396,106,Released,Cars 2,5.8,2033
200000000.00,200,12,44912,en,Green Lantern,51.872839,16/6/2011,6,219851172,219.851172,114,Released,Green Lantern,5.1,2487
200000000.00,200,16,10193,en,Toy Story 3,59.995418,16/6/2010,6,1066969703,1066.969703,103,Released,Toy Story 3,7.6,4597
200000000.00,200,28,534,en,Terminator Salvation,71.862892,20/5/2009,5,371353001,371.353001,115,Released,Terminator Salvation,5.9,2463
190000000.00,190,28,168259,en,Furious 7,102.322217,1/4/2015,4,1506249360,1506.24936,137,Released,Furious 7,7.3,4176
200000000.00,200,28,72190,en,World War Z,81.834855,20/6/2013,6,531865000,531.865,116,Released,World War Z,6.7,5560
250000000.00,250,28,127585,en,X-Men: Days of Future Past,118.078691,15/5/2014,5,747862775,747.862775,131,Released,X-Men: Days of Future Past,7.5,6032
190000000.00,190,28,54138,en,Star Trek Into Darkness,78.291018,5/5/2013,5,467365246,467.365246,132,Released,Star Trek Into Darkness,7.4,4418
195000000.00,195,28,81005,en,Jack the Giant Slayer,43.349855,27/2/2013,2,197687603,197.687603,114,Released,Jack the Giant Slayer,5.5,2598
105000000.00,105,18,64682,en,The Great Gatsby,61.196071,10/5/2013,5,351040419,351.040419,143,Released,The Great Gatsby,7.3,3769
150000000.00,150,12,9543,en,Prince of Persia: The Sands of Time,62.169881,19/5/2010,5,335154643,335.154643,116,Released,Prince of Persia: The Sands of Time,6.2,2317
180000000.00,180,28,68726,en,Pacific Rim,56.523205,11/7/2013,7,407602906,407.602906,131,Released,Pacific Rim,6.7,4794
195000000.00,195,28,38356,en,Transformers: Dark of the Moon,28.529607,28/6/2011,6,1123746996,1123.746996,154,Released,Transformers: Dark of the Moon,6.1,3299
185000000.00,185,12,217,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,21/5/2008,5,786636033,786.636033,122,Released,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
175000000.00,175,12,105864,en,The Good Dinosaur,51.692953,14/11/2015,11,331926147,331.926147,93,Released,The Good Dinosaur,6.6,1736
185000000.00,185,16,62177,en,Brave,125.114374,21/6/2012,6,538983207,538.983207,93,Released,Brave,6.7,4641
185000000.00,185,28,188927,en,Star Trek Beyond,65.352913,7/7/2016,7,343471816,343.471816,122,Released,Star Trek Beyond,6.6,2568
180000000.00,180,16,10681,en,WALL·E,66.390712,22/6/2008,6,521311860,521.31186,98,Released,WALL·E,7.8,6296
140000000.00,140,28,5174,en,Rush Hour 3,22.57178,8/8/2007,8,258022233,258.022233,91,Released,Rush Hour 3,6.1,783
200000000.00,200,28,14161,en,2012,45.274225,10/10/2009,10,769653595,769.653595,158,Released,2012,5.6,4903
200000000.00,200,16,17979,en,A Christmas Carol,39.744242,4/11/2009,11,325233863,325.233863,96,Released,A Christmas Carol,6.6,1095
176000003.00,176.000003,87,76757,en,Jupiter Ascending,85.36908,4/2/2015,2,183987723,183.987723,124,Released,Jupiter Ascending,5.2,2768
180000000.00,180,28,258489,en,The Legend of Tarzan,42.741719,29/6/2016,6,356743061,356.743061,109,Released,The Legend of Tarzan,5.5,2430
180000000.00,180,12,411,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,7/12/2005,12,748806957,748.806957,143,Released,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629
178000000.00,178,87,246655,en,X-Men: Apocalypse,139.272042,18/5/2016,5,543934787,543.934787,144,Released,X-Men: Apocalypse,6.4,4721
185000000.00,185,18,155,en,The Dark Knight,187.322927,16/7/2008,7,1004558444,1004.558444,152,Released,The Dark Knight,8.2,12002
175000000.00,175,16,14160,en,Up,92.201962,13/5/2009,5,735099082,735.099082,96,Released,Up,7.7,6870
175000000.00,175,16,15512,en,Monsters vs Aliens,36.167578,19/3/2009,3,381509870,381.50987,94,Released,Monsters vs Aliens,6,1423
140000000.00,140,28,1726,en,Iron Man,120.725053,30/4/2008,4,585174222,585.174222,126,Released,Iron Man,7.4,8776
170000000.00,170,12,44826,en,Hugo,32.319043,22/11/2011,11,185770160,185.77016,126,Released,Hugo,7,2141
170000000.00,170,28,8487,en,Wild Wild West,40.748915,29/6/1999,6,222104681,222.104681,106,Released,Wild Wild West,5.1,1020
145000000.00,145,12,1735,en,The Mummy: Tomb of the Dragon Emperor,60.034162,1/7/2008,7,401128639,401.128639,112,Released,The Mummy: Tomb of the Dragon Emperor,5.2,1387
175000000.00,175,28,297761,en,Suicide Squad,90.23792,2/8/2016,8,745000000,745,123,Released,Suicide Squad,5.9,7458
175000000.00,175,14,2698,en,Evan Almighty,27.082182,9/6/2007,6,173000000,173,96,Released,Evan Almighty,5.3,1151
178000000.00,178,28,137113,en,Edge of Tomorrow,79.456485,27/5/2014,5,370541256,370.541256,113,Released,Edge of Tomorrow,7.6,4858
175000000.00,175,12,9804,en,Waterworld,44.640292,28/7/1995,7,264218220,264.21822,135,Released,Waterworld,5.9,992
175000000.00,175,12,14869,en,G.I. Joe: The Rise of Cobra,32.852443,4/8/2009,8,302469017,302.469017,118,Released,G.I. Joe: The Rise of Cobra,5.6,1962
175000000.00,175,18,150540,en,Inside Out,128.655964,9/6/2015,6,857611174,857.611174,94,Released,Inside Out,8,6560
175000000.00,175,10,278927,en,The Jungle Book,94.199316,7/4/2016,4,966550600,966.5506,106,Released,The Jungle Book,6.7,2892
200000000.00,200,12,10138,en,Iron Man 2,77.300194,28/4/2010,4,623933331,623.933331,124,Released,Iron Man 2,6.6,6849
170000000.00,170,12,58595,en,Snow White and the Huntsman,77.178973,30/5/2012,5,396600000,396.6,127,Released,Snow White and the Huntsman,5.8,3118
180000000.00,180,14,102651,en,Maleficent,110.620647,28/5/2014,5,758539785,758.539785,97,Released,Maleficent,7,4496
170000000.00,170,87,119450,en,Dawn of the Planet of the Apes,243.791743,26/6/2014,6,710644566,710.644566,130,Released,Dawn of the Planet of the Apes,7.3,4410
27000000.00,27,28,79698,en,The Lovers,2.418535,13/2/2015,2,2000000,2,109,Released,The Lovers,4.8,34
175000000.00,175,18,64686,en,47 Ronin,41.796339,6/12/2013,12,150962475,150.962475,119,Released,47 Ronin,5.9,1326
170000000.00,170,28,100402,en,Captain America: The Winter Soldier,72.225265,20/3/2014,3,714766572,714.766572,136,Released,Captain America: The Winter Soldier,7.6,5764
165000000.00,165,35,10192,en,Shrek Forever After,44.041186,16/5/2010,5,752600867,752.600867,93,Released,Shrek Forever After,6,1959
190000000.00,190,12,158852,en,Tomorrowland,130.311355,19/5/2015,5,209154322,209.154322,130,Released,Tomorrowland,6.2,2846
165000000.00,165,12,177572,en,Big Hero 6,203.73459,24/10/2014,10,652105443,652.105443,102,Released,Big Hero 6,7.8,6135
165000000.00,165,10,82690,en,Wreck-It Ralph,62.341073,1/11/2012,11,471222889,471.222889,108,Released,Wreck-It Ralph,7.1,4570
165000000.00,165,12,5255,en,The Polar Express,47.323228,10/11/2004,11,305875730,305.87573,100,Released,The Polar Express,6.4,1474
165000000.00,165,28,47933,en,Independence Day: Resurgence,48.775723,22/6/2016,6,389681935,389.681935,120,Released,Independence Day: Resurgence,4.9,2491
165000000.00,165,14,10191,en,How to Train Your Dragon,67.263269,5/3/2010,3,494878759,494.878759,98,Released,How to Train Your Dragon,7.5,4227
200000000.00,200,28,296,en,Terminator 3: Rise of the Machines,69.405188,2/7/2003,7,435000000,435,109,Released,Terminator 3: Rise of the Machines,5.9,2143
170000000.00,170,28,118340,en,Guardians of the Galaxy,481.098624,30/7/2014,7,773328629,773.328629,121,Released,Guardians of the Galaxy,7.9,9742
165000000.00,165,12,157336,en,Interstellar,724.247784,5/11/2014,11,675120017,675.120017,169,Released,Interstellar,8.1,10867
160000000.00,160,28,27205,en,Inception,167.58371,14/7/2010,7,825532764,825.532764,148,Released,Inception,8.1,13752
15000000.00,15,28,315011,ja,シン・ゴジラ,9.476999,29/7/2016,7,77000000,77,120,Released,Shin Godzilla,6.5,143
250000000.00,250,12,49051,en,The Hobbit: An Unexpected Journey,108.849621,26/11/2012,11,1021103568,1021.103568,169,Released,The Hobbit: An Unexpected Journey,7,8297
