platform_id,genre_id,age_rating_id,developer_id,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,global_sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
6,8,2,7700000001,Activision,5.99,4.37,0.48,1.79,12.63,88,58,6.4,1094,Treyarch,M
10,3,2,7700000001,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97,66,8.3,2899,Rockstar North,M
4,9,1,6900000001,Nintendo,2.5,3.45,5.33,0.86,12.13,86,57,8.7,242,Nintendo,E
5,8,2,7700000001,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94,86,7.8,4100,"Bungie Software, Bungie",M
12,5,0,0,Nintendo,6.91,2.85,1.91,0.23,11.89,,,,,,
4,3,0,0,Nintendo,4.34,2.71,3.96,0.76,11.77,,,,,,
11,6,0,0,Nintendo,4.35,3.49,3.1,0.74,11.68,,,,,,
7,2,1,6900000001,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89,74,8.5,272,Polyphony Digital,E
1,5,1,6900000001,Nintendo,6.06,3.35,1.2,0.74,11.35,97,73,8.9,2147,Nintendo,E
3,11,0,0,Nintendo,6.16,2.04,2.69,0.29,11.18,,,,,,
5,3,2,7700000001,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98,86,7.9,2951,Rockstar North,M
13,2,1,6900000001,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96,16,8.7,138,Polyphony Digital,E
11,5,1,6900000001,Nintendo,4.89,3,2.14,0.78,10.81,90,82,8.4,921,Nintendo,E
6,2,1,6900000001,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84,82,7.5,1112,Polyphony Digital,E
6,8,2,7700000001,Activision,4.99,3.64,0.38,1.6,10.6,94,67,6.3,2073,Infinity Ward,M
8,5,0,0,Nintendo,5.99,2.15,2.12,0.29,10.55,,,,,,
6,3,2,7700000001,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98,64,7.5,2833,Rockstar North,M
9,6,0,0,Nintendo,4.34,2.65,3.15,0.35,10.49,,,,,,
4,5,0,0,Nintendo,5.01,3.07,1.25,0.97,10.3,,,,,,
5,8,2,7700000001,Activision,6.73,2.56,0.04,0.91,10.25,73,29,2.6,2117,Infinity Ward,M
1,1,1,6949484300004,Ubisoft,5.95,3.11,0,1.06,10.12,74,15,7.8,16,Ubisoft,E10+
11,5,1,6900000001,Nintendo,3.66,3.14,2.47,0.63,9.9,78,70,7.2,424,Nintendo,E
12,2,0,0,Nintendo,5.55,1.94,2.23,0.15,9.87,,,,,,
5,8,2,7700000001,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91,99,7.9,2045,Bungie,M
13,6,3,8400000001,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92,20,9.2,1282,SquareSoft,T
5,8,2,7700000001,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87,87,7,3260,343 Industries,M
13,2,3,8400000001,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93,23,9,135,Polyphony Digital,T
1,1,1,6949484300004,Ubisoft,5.8,2.85,0.01,0.78,9.44,74,24,7.3,24,Ubisoft,E10+
6,8,2,7700000001,Activision,4.1,3.63,0.38,1.25,9.36,71,10,2.6,1047,Infinity Ward,M
5,8,2,7700000001,Activision,5.93,2.36,0.13,0.9,9.31,94,70,8.4,1320,Infinity Ward,M
8,5,0,0,Nintendo,4.36,1.71,3,0.23,9.3,,,,,,
5,1,0,0,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,,,,,,
11,9,1,6900000001,Nintendo,2.03,2.36,4.39,0.39,9.16,88,70,8.7,626,Nintendo,E
4,1,1,6900000001,Nintendo,4.4,1.85,1.98,0.68,8.91,72,27,7.8,85,Hudson Soft,E
5,6,2,7700000001,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96,89,8.4,3589,Bethesda Game Studios,M
8,2,0,0,Nintendo,3.54,1.24,3.81,0.18,8.76,,,,,,
10,4,1,6900000001,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82,42,4.3,896,EA Sports,E
14,8,2,7700000001,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95,91,8.2,1218,Bungie Software,M
1,1,1,6900000001,Nintendo,1.75,3.47,2.49,0.67,8.38,68,42,7.4,54,Nd Cube,E
1,1,1,6900000001,Nintendo,3.74,2.24,1.58,0.7,8.27,62,41,6.3,190,Hudson,E
6,3,1,6900000001,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88,37,6.6,348,Electronic Arts,E
12,8,0,0,Nintendo,5.8,2.01,0.13,0.15,8.09,,,,,,
4,6,0,0,Nintendo,2.79,1.72,3.14,0.41,8.07,,,,,,
7,6,3,8400000001,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92,53,8.7,1056,SquareSoft,T
15,9,3,8400000001,Electronic Arts,0.99,6.42,0,0.6,8.01,86,75,7.6,886,The Sims Studio,T
1,4,0,0,Sega,2.57,3.86,0.66,0.91,7.99,,,,,,
10,8,0,0,Electronic Arts,2.99,3.49,0.22,1.28,7.98,,,,,,
13,6,3,8400000001,SquareSoft,2.28,1.72,3.63,0.23,7.86,90,24,8.6,644,SquareSoft,T
16,7,0,0,Atari,7.28,0.45,0,0.08,7.81,,,,,,
4,6,1,6900000001,Nintendo,2.76,1.72,2.69,0.54,7.72,83,46,8.5,203,Game Freak,E
17,3,2,7700000001,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88,65,7.6,451,Rockstar Leeds,M
10,8,2,7700000001,Activision,2.81,3.48,0.14,1.23,7.66,83,39,5.7,1443,Sledgehammer Games,M
12,3,0,0,Nintendo,4.1,1.89,1.45,0.16,7.6,,,,,,
10,4,1,6900000001,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85,41,5,398,"EA Sports, EA Vancouver",E
13,5,0,0,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,,,,,,
11,10,0,0,Nintendo,3.27,1.37,2.43,0.48,7.55,,,,,,
1,5,1,6900000001,Nintendo,3.56,2.35,0.98,0.62,7.51,97,87,9.1,1854,Nintendo EAD Tokyo,E
2,5,0,0,Nintendo,5.39,1.18,0.7,0.19,7.46,,,,,,
18,8,0,0,Activision,4.59,2.11,0.01,0.68,7.39,,,,,,
5,8,2,7700000001,Activision,4.81,1.88,0,0.69,7.38,84,84,7.6,580,Treyarch,M
5,8,2,7700000001,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84,57,7.4,2142,EA DICE,M
7,2,1,6900000001,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85,33,8.6,171,EA Black Box,E
1,1,1,6949484300004,Ubisoft,3.48,2.99,0,0.73,7.2,49,21,8,110,Ubisoft Paris,E10+
6,8,2,7700000001,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85,38,7.5,1761,EA DICE,M
10,6,2,7700000001,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87,58,6.5,4228,Bethesda Game Studios,M
13,10,3,8400000001,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96,15,9.1,367,Namco,T
1,3,3,8400000001,Nintendo,3.74,2.14,0.6,0.68,7.15,95,73,9,1658,Nintendo,T
11,6,0,0,Nintendo,2.98,1.45,2.26,0.45,7.14,,,,,,
13,5,1,6900000001,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91,12,8.9,432,Naughty Dog,E
19,2,1,6900000001,Nintendo,3.15,2.15,1.28,0.51,7.09,88,82,9.1,1599,Nintendo,E
20,10,3,8400000001,Nintendo,4.41,1.04,1.39,0.22,7.07,92,38,9.1,568,HAL Labs,T
20,2,0,0,Nintendo,4.12,1.77,0.87,0.19,6.95,,,,,,
7,2,1,6900000001,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82,39,8.6,132,EA Canada,E
7,8,3,8400000001,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88,29,8.5,135,EA LA,T
13,5,0,0,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,,,,,,
1,1,1,6949484300004,Ubisoft,4.05,2.16,0,0.55,6.76,74,10,7.3,28,Ubisoft,E10+
5,8,2,7700000001,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93,90,7.7,2739,Epic Games,M
6,3,3,8400000001,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92,97,8.3,3712,Naughty Dog,T
1,4,1,6900000001,505 Games,3.45,2.59,0,0.66,6.71,,,,,"Pipeworks Software, Inc.",E
6,8,2,7700000001,Activision,3.11,2.26,0.28,1.03,6.68,94,44,8.4,993,Infinity Ward,M
6,3,3,8400000001,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96,105,8.8,5187,Naughty Dog,T
6,4,0,0,Electronic Arts,0.84,4.3,0.11,1.39,6.65,,,,,,
4,1,1,6900000001,Nintendo,1.66,2.75,1.6,0.62,6.62,74,45,7.4,27,Nintendo,E
2,3,0,0,Nintendo,3.74,0.93,1.69,0.14,6.51,,,,,,
6,3,2,7700000001,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95,73,8.8,2456,Rockstar San Diego,M
6,4,1,6900000001,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86,37,4.3,576,EA Canada,E
6,3,2,7700000001,Ubisoft,2.64,2.52,0.16,1.12,6.45,85,41,6.9,1307,Ubisoft,M
1,5,1,6900000001,Nintendo,3.17,1.79,1.03,0.46,6.44,87,77,8.6,368,Retro Studios,E
14,8,2,7700000001,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97,68,8.6,1283,Bungie Software,M
6,6,2,7700000001,Bethesda Softworks,2.55,2.6,0.25,1,6.41,92,16,6.4,2527,Bethesda Game Studios,M
9,6,1,6900000001,Nintendo,2.57,1.58,2.06,0.21,6.41,76,28,9,222,Game Freak,E
7,6,1,6900000001,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85,46,8.8,597,SquareSoft,E
3,6,0,0,Nintendo,2.55,1.56,1.29,0.99,6.39,,,,,,
5,8,2,7700000001,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83,94,7.1,1163,"Bungie Software, Bungie",M
5,3,2,7700000001,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95,96,9,2316,Rockstar San Diego,M
20,5,1,6900000001,Nintendo,4.01,1.26,0.87,0.17,6.31,92,61,8.6,439,Nintendo,E
8,10,0,0,Capcom,2.47,0.83,2.87,0.12,6.3,,,,,,
15,6,3,8400000001,Activision,0.08,6.21,0,0,6.29,93,57,7.3,2182,Blizzard Entertainment,T
13,3,3,8400000001,GT Interactive,3.11,2.8,0.02,0.33,6.27,87,22,8.1,78,Reflections Interactive,T
5,8,2,7700000001,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91,96,7.8,1504,Epic Games,M
5,4,1,6949484300004,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73,51,7.4,95,Rare Ltd.,E10+
5,8,2,7700000001,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94,88,8.3,2295,Epic Games,M
10,4,1,6900000001,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82,47,5.7,988,EA Sports,E
7,3,2,7700000001,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96,42,8.7,1026,KCEJ,M
21,5,0,0,Sega,4.47,1.2,0.16,0.19,6.03,,,,,,
13,3,2,7700000001,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94,20,9.4,918,KCEJ,M
6,3,2,7700000001,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94,82,8.7,3558,Kojima Productions,M
7,6,3,8400000001,Square Enix,1.88,0,2.33,1.74,5.95,92,64,7.6,972,Square Enix,T
6,3,2,7700000001,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95,98,9.1,8003,Naughty Dog,M
6,5,1,6900000001,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95,85,6.8,5311,"SCE/WWS, Media Molecule",E
13,3,2,7700000001,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89,13,9.2,364,Capcom,M
4,6,1,6949484300004,Nintendo,0.63,0.67,4.35,0.15,5.78,87,65,8.8,197,Level 5,E10+
13,10,3,8400000001,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89,8,8.9,102,Namco,T
10,8,3,8400000001,Activision,2.49,2.07,0.16,0.92,5.64,76,95,6.1,5380,"Bungie Software, Bungie",T
1,3,1,6949484300004,LucasArts,3.57,1.55,0,0.51,5.64,80,17,8.9,62,Traveller's Tales,E10+
4,9,1,6900000001,505 Games,3.07,1.91,0.07,0.57,5.63,67,35,7.2,21,Taito Corporation,E
2,7,0,0,Nintendo,2.97,0.69,1.81,0.11,5.58,,,,,,
12,10,0,0,Nintendo,2.95,0.6,1.97,0.04,5.55,,,,,,
6,3,2,7700000001,Ubisoft,2.54,1.93,0.21,0.86,5.55,91,70,8.6,1202,Ubisoft Montreal,M
5,11,2,7700000001,Ubisoft,3.28,1.64,0.07,0.56,5.54,81,77,7.7,1074,Ubisoft Montreal,M
5,2,1,6900000001,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92,90,8,516,Turn 10,E
9,5,1,6900000001,Nintendo,3.14,1.24,0.91,0.2,5.49,84,19,7.8,41,Nintendo,E
17,6,3,8400000001,Capcom,0.47,0.55,4.13,0.34,5.48,81,48,8.7,124,Capcom,T
6,3,3,8400000001,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96,42,8.6,2162,Rocksteady Studios,T
18,3,2,7700000001,Take-Two Interactive,2.81,2.19,0,0.47,5.48,97,14,7.9,764,Rockstar North,M
9,2,1,6900000001,Nintendo,2.62,1.64,0.99,0.23,5.47,93,24,8.3,108,Intelligent Systems,E
9,5,0,0,Nintendo,3.21,1.11,0.95,0.2,5.46,,,,,,
12,12,0,0,Nintendo,3.18,1.24,0.94,0.09,5.45,,,,,,
7,5,1,6900000001,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66,22,7.1,156,Traveller's Tales,E
6,8,2,7700000001,Activision,2.73,1.83,0,0.83,5.39,85,45,7.6,409,Treyarch,M
10,8,3,8400000001,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93,113,7.9,7064,Naughty Dog,T
3,7,0,0,Nintendo,2.18,0.96,2,0.2,5.34,,,,,,
6,6,3,8400000001,Square Enix,1.74,1.21,1.87,0.51,5.33,83,83,7.3,2483,Square Enix,T
3,1,0,0,Nintendo,3.02,1.12,1.01,0.16,5.31,,,,,,
13,6,3,8400000001,SquareSoft,1.62,0.77,2.78,0.14,5.3,94,22,8.9,779,SquareSoft,T
5,3,2,7700000001,Ubisoft,3.13,1.69,0.03,0.44,5.29,84,61,6.7,1196,Ubisoft,M
7,6,3,8400000001,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85,45,6.6,400,SquareSoft,T
12,5,0,0,Nintendo,3.33,0.79,1.09,0.06,5.27,,,,,,
18,8,2,7700000001,Activision,3.22,1.55,0.01,0.48,5.27,81,53,5.4,898,Sledgehammer Games,M
6,1,0,0,Sony Computer Entertainment,2.03,2.37,0,0.87,5.26,,,,,,
5,3,2,7700000001,Ubisoft,3.11,1.55,0.08,0.51,5.26,90,82,8.8,1305,Ubisoft Montreal,M
13,3,3,8400000001,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,85,13,,,Core Design Ltd.,T
7,4,1,6900000001,Electronic Arts,4.26,0.26,0.01,0.71,5.23,94,29,8.5,140,EA Tiburon,E
11,9,0,0,Nintendo,0.97,2.11,1.9,0.24,5.23,,,,,,
19,5,1,6900000001,Nintendo,2.3,1.34,1.27,0.32,5.22,84,70,8.1,733,Nintendo,E
7,6,3,8400000001,Square Enix,0.65,0.75,3.61,0.2,5.21,89,63,8.8,245,Level 5,T
9,5,0,0,Nintendo,2.93,1.25,0.83,0.2,5.2,,,,,,
4,7,1,6900000001,Nintendo,1.21,2.43,1.03,0.52,5.19,85,72,8.6,147,Level 5,E
3,5,0,0,Nintendo,2.49,0.98,1.57,0.15,5.19,,,,,,
5,3,1,6900000001,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90,48,6.1,403,Electronic Arts,E
8,5,0,0,Nintendo,2.1,0.74,2.2,0.11,5.15,,,,,,
15,6,2,7700000001,Activision,2.44,2.16,0,0.54,5.14,88,86,4,9629,Blizzard Entertainment,M
7,8,3,8400000001,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68,30,7.6,100,EA LA,T
3,5,0,0,Nintendo,2.71,0.61,1.7,0.11,5.13,,,,,,
15,9,0,0,Microsoft Game Studios,3.22,1.69,0,0.2,5.12,,,,,,
7,1,3,8400000001,RedOctane,3.81,0.63,0,0.68,5.12,92,69,8.5,112,Harmonix Music Systems,T
5,6,2,7700000001,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80,88,6.5,604,Lionhead Studios,M
4,4,0,0,Sega,1.63,2.45,0.44,0.57,5.09,,,,,,
6,3,2,7700000001,Capcom,1.96,1.41,1.08,0.64,5.09,84,76,7.5,667,Capcom,M
4,3,1,6900000001,Nintendo,1.85,1.8,0.95,0.48,5.08,90,57,8,416,Nintendo,E
3,5,0,0,Nintendo,3.4,1.3,0.15,0.22,5.07,,,,,,
6,4,1,6900000001,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89,51,8,233,EA Sports,E
13,3,2,7700000001,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91,8,9,266,Capcom,M
17,3,2,7700000001,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,86,50,8,150,Rockstar Leeds,M
13,4,3,8400000001,Activision,3.42,1.38,0.02,0.2,5.02,92,18,9.2,69,Neversoft Entertainment,T
13,12,0,0,Eidos Interactive,2.79,1.89,0,0.33,5.01,,,,,,
13,5,0,0,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5,,,,,,
7,1,3,8400000001,Activision,3.49,0.01,0.01,1.48,4.98,82,24,8.2,46,"Neversoft Entertainment, BudCat",T
1,8,3,8400000001,Nintendo,3.05,1.17,0.29,0.46,4.98,68,34,7.1,47,Nintendo,T
4,6,0,0,Nintendo,1.83,1.19,1.54,0.37,4.93,,,,,,
5,6,2,7700000001,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,93,84,8.5,1655,Bethesda Game Studios,M
6,3,3,8400000001,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,88,66,8.1,2306,"Naughty Dog, SCE/WWS",T
7,4,1,6900000001,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88,29,8,121,EA Sports,E
12,2,0,0,Nintendo,2.91,0.99,0.89,0.1,4.88,,,,,,
17,6,0,0,Capcom,0,0,4.87,0,4.87,,,,,,
19,10,0,0,Nintendo,2.6,1.08,0.81,0.38,4.87,,,,,,
2,7,0,0,Nintendo,2.62,0.6,1.52,0.1,4.85,,,,,,
15,12,3,8400000001,Activision,2.57,1.68,0,0.58,4.84,93,82,8.2,3052,Blizzard Entertainment,T
6,11,2,7700000001,Ubisoft,1.91,2,0.09,0.82,4.82,81,40,7.3,769,Ubisoft Montreal,M
6,3,2,7700000001,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,92,101,8.7,2633,SCE Santa Monica,M
13,2,1,6900000001,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88,20,9,233,Naughty Dog,E
4,3,1,6900000001,LucasArts,2.83,1.48,0,0.45,4.76,80,9,5.4,46,TT Fusion,E
13,3,3,8400000001,Atari,2.36,2.1,0.02,0.25,4.73,62,14,7.7,92,Reflections Interactive,T
5,3,3,8400000001,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94,87,8.7,1472,Rocksteady Studios,T
10,3,0,0,Sony Computer Entertainment,1.88,2,0.07,0.77,4.71,,,,,,
7,2,0,0,Vivendi Games,1.73,2.19,0,0.79,4.7,,,,,,
13,4,3,8400000001,Activision,3.05,1.41,0.02,0.2,4.68,98,19,7.7,299,Neversoft Entertainment,T
7,3,3,8400000001,Electronic Arts,1.94,1.95,0.08,0.7,4.67,82,32,8.2,78,Stormfront Studios,T
13,3,3,8400000001,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,91,13,8.6,147,Core Design Ltd.,T
1,9,1,6900000001,Nintendo,1.82,1.12,1.32,0.36,4.62,73,50,7.6,119,Nintendo,E
10,3,3,8400000001,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86,78,8.1,1264,Bluepoint Games,T
8,3,0,0,Nintendo,2.42,0.91,1.15,0.13,4.61,,,,,,
20,3,1,6900000001,Nintendo,2.6,0.99,0.89,0.13,4.6,96,80,8.9,968,Nintendo,E
1,1,3,8400000001,Activision,3.04,1.11,0,0.43,4.6,86,36,8.4,87,Vicarious Visions,T
11,3,1,6900000001,Nintendo,1.8,1.39,1.11,0.29,4.59,86,74,8.4,458,Next Level Games,E
5,2,1,6900000001,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57,91,83,8.2,617,Turn 10,E
1,4,0,0,Sega,1.87,1.96,0.22,0.48,4.53,,,,,,
7,4,1,6900000001,Electronic Arts,4.18,0.26,0.01,0.08,4.53,91,30,7.9,78,EA Tiburon,E
5,1,3,8400000001,Activision,3.19,0.91,0.01,0.42,4.53,85,69,7.9,165,Neversoft Entertainment,T
16,5,0,0,Activision,4.21,0.24,0,0.05,4.5,,,,,,
7,4,1,6900000001,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84,29,8.2,39,EA Sports,E
18,8,3,8400000001,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,84,101,6.4,2438,343 Industries,T
7,3,1,6900000001,Activision,2.71,1.51,0.03,0.23,4.48,76,25,7.9,41,Treyarch,E
13,6,0,0,Enix Corporation,0.2,0.14,4.1,0.02,4.47,,,,,,
10,8,2,7700000001,Activision,1.61,2,0.15,0.71,4.46,77,82,3.4,1129,Infinity Ward,M
7,3,2,7700000001,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,94,75,8.9,997,SCE Santa Monica,M
19,8,1,6949484300004,Nintendo,1.54,1.18,1.46,0.26,4.43,81,88,8.5,1184,Nintendo,E10+
19,1,1,6949484300004,Nintendo,2.52,1.11,0.46,0.33,4.42,77,61,7.9,471,Nintendo,E10+
7,4,3,8400000001,Activision,2.66,1.29,0.01,0.46,4.41,97,34,7.5,298,Neversoft Entertainment,T
7,4,1,6900000001,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,86,19,8.9,33,Konami,E
5,6,2,7700000001,Take-Two Interactive,2.82,1.03,0.13,0.4,4.38,94,90,8.7,1109,Bethesda Softworks,M
2,11,0,0,Nintendo,2.19,0.5,1.61,0.08,4.38,,,,,,
7,2,3,8400000001,Electronic Arts,2.03,1.79,0.08,0.47,4.37,82,36,9.1,137,EA Canada,T
1,1,1,6949484300004,Ubisoft,2.64,1.33,0.01,0.39,4.36,56,37,8.3,31,"Ubisoft Paris, Ubisoft Montpellier",E10+
6,8,2,7700000001,Activision,1.56,1.93,0.19,0.68,4.36,,,4.8,207,High Moon Studios,M
6,8,2,7700000001,Sony Computer Entertainment,1.74,1.72,0.14,0.75,4.34,86,70,8.1,715,Insomniac Games,M
21,5,0,0,Sega,3.03,0.91,0.26,0.13,4.34,,,,,,
